route,corridor,from_terminus,to_terminus,sacco,permit_no,coverage,hits_of_total,via_raw,confidence,VERDICT
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-2DVS88Q,0.67,2/3,"dagoretti market, karen, bomas",medium,
1,,Karen Dispensary,Dagoretti Market,DAKABO SACCO LIMITED,ADR-EPJSLLM,0.50,2/4,"bomas, karen, kabiria, dagoretti market",low,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
2,,Railways,Dagoretti Market Mwisho,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
2,,Railways,Dagoretti Market Mwisho,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-WZ9S3Q6,1.00,3/3,"railways, kibera, ngong road",high,
5,,Kencom,Togo Apartments,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
6,,Koja,Eastleigh Terminal,,,,,,unknown,
7,,Luthuli Avenue,Gikomba,,,,,,unknown,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,NTR-00260,0.67,2/3,"Railways, KNH Yaya City stadium Ngara Muthurwa St Marys Kinoo Kikuyu Karen Lenana Racecourse Kawangware Westlands, Kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-BQ9S7KD,0.67,2/3,"railways, knh, kibera",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-MDMSKW8,0.67,2/3,"railways, kibera, ngong road",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-YM3SVZM,0.67,2/3,"railways, kibera, knh",medium,
8,,Railways,Equity Ayani,KIBERA BURETI SACCO,ADR-ZZJS9OP,0.67,2/3,"railways, ngong road, kibera",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-00259,0.67,2/3,"embakasi, jogoo road, muthurwa",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,NTR-0039,0.67,2/3,"muthurwa, jogoo road, embakasi",medium,
10,,Muthurwa,Mwisho,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-537HY73,0.67,2/3,"embakasi, muthurwa, jogoo road",medium,
10,,Muthurwa,Mwisho,PINPOINT SOLUTION (K) LTD,NTR-00439,0.67,2/3,"bus station, jogoo road,kayole, muthurwa",medium,
10,,Muthurwa,Mwisho,PINPOINT SOLUTION (K) LTD,ADR-MDMSJVR,0.67,2/3,"muthurwa, jogoo road, kayole",medium,
11,,Bus Station,South B Mwisho,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,NTR-00201910291437530,1.00,4/4,"Bus station, South b,Hazina,Mombasa rd, Machakos",high,
11,,Bus Station,South B Mwisho,TELAVIV TRAVELLERS LIMITED,ADR-REOSRMR,1.00,4/4,"bus station, mombasa road, south c, south b, hazina",high,
11,,Bus Station,South B Mwisho,TELAVIV TRAVELLERS LIMITED,ADR-8LMSEPZ,1.00,4/4,"bus station, hazina,mombasa road, south c, south b",high,
11,,Bus Station,South B Mwisho,SINGLE LINE SERVICES LIMITED,ADR-VYASPYM,1.00,2/2,"bus station, south b, hazina",medium,
11,,Bus Station,South B Mwisho,SOUTH B MATATU OWNERS SACCO SOCIETY LTD,ADR-EPJSY5D,1.00,2/2,"bus station, hazina, south b",medium,
14,,Terminal Otc,Kariobangi Terminal,HURUMA MINI-BUS SACCO LTD,ADR-REOSZB2,0.50,2/4,"huruma, pangani,kariokor, tusker",low,
15,,Bus Station,Terminal,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
15,,Bus Station,Terminal,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,ADR-REOSZ5E,0.67,2/3,"bus station, madaraka estate,west madaraka, langata rd",medium,
15,,Bus Station,Terminal,CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,0.50,2/4,"nairobi, thika, flyover, nakuru",low,
16,,Bus Station,Highrise,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
16,,Bus Station,Highrise,WEST MADARAKA ROUTE 14 COOPERATIVE SACCO.,ADR-REOSZ5E,0.67,2/3,"bus station, madaraka estate,west madaraka, langata rd",medium,
16,,Bus Station,Highrise,CHANIA TRAVELLERS SACCO,ADR-Q5LCLAM,0.50,2/4,"nairobi, thika, flyover, nakuru",low,
16,,Bus Station,Highrise,HIGHRISE KIBERA SACCO,ADR-9AKFJ77,0.50,2/4,"bus station, nyayo, highrise, knh, kibera",low,
16,,Bus Station,Highrise,HIGHRISE KIBERA SACCO,ADR-DB3TYAM,0.50,2/4,"bus station, kibera,nyayo, highrise, knh",low,
20,,Mama Lucy Terminal,Mwiki Terminal,kayo-line group company limited,ADR-Q5LC893,0.67,2/3,"mwiki, utawala, kayole",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,MNK SACCO SOCIETY LTD,ADR-6DBSKLA,0.67,2/3,"mwiki, utawala, kayole",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,MNK SACCO SOCIETY LTD,ADR-WZ9SD9A,0.67,2/3,"mwiki, kayole, utawala",medium,
20,,Mama Lucy Terminal,Mwiki Terminal,kayo-line group company limited,ADR-VYASWQB,0.50,2/4,"mwiki, utawala, cabanas, kayole",low,
20,,Mama Lucy Terminal,Mwiki Terminal,MNK SACCO SOCIETY LTD,ADR-537HQWM,0.50,2/4,"mwiki, utawala, cabanas, kayole",low,
24,,Karen/Shell,Kencom,RWAKEN INVESTMENTS LIMITED,NTR-00948,0.67,2/3,"nairobi, within, nairobi",medium,
24,,Karen/Shell,Kencom,WAKIMALI TRAVELLERS CO. LIMITED,NTR-00673,0.67,2/3,"kikuyu, karen, ngong",medium,
24,,Karen/Shell,Kencom,WAKIMALI TRAVELLERS CO. LIMITED,ADR-3ZQS2MK,0.67,2/3,"kikuyu, ngong, karen",medium,
24,,Karen/Shell,Kencom,NANGKIS MATATU SACCO,NTR-00201901141019580,0.50,3/6,"kiserian, ngong,karen,dagoreti corner,prestige, kenyatta",low,
24,,Karen/Shell,Kencom,NGOKANA SAVINGS AND CREDIT COOPERATIVE SOCIETY,NTR-00201901141019580,0.50,3/6,"kiserian, ngong,karen,dagoreti corner,prestige, kenyatta",low,
26,,Makadara,Kariobangi,,,,,,unknown,
28,,Gikomba Market Terminals,Kariobangi Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-A5ACLOL,0.67,2/3,"gikomba, juja road, kariobangi",medium,
28,,Gikomba Market Terminals,Kariobangi Terminal,KARIOBANGI MATATU OWNERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-POKSME5,0.67,2/3,"gikomba, kariobangi, juja road",medium,
28,,Gikomba Market Terminals,Kariobangi Terminal,NEEMA TRAVELLERS AGENCY LIMITED,ADR-A5ACLOL,0.67,2/3,"gikomba, juja road, kariobangi",medium,
28,,Gikomba Market Terminals,Kariobangi Terminal,NEEMA TRAVELLERS AGENCY LIMITED,ADR-POKSME5,0.67,2/3,"gikomba, kariobangi, juja road",medium,
30,,Odeon Terminus,Ndumbuini Terminus,COSY TRAVEL LIMITED,NTR-0078,0.67,2/3,"odeon, westlands, kangemi",medium,
30,,Odeon Terminus,Ndumbuini Terminus,COSY TRAVEL LIMITED,ADR-Q5LC6JA,0.67,2/3,"odeon, kangemi, westlands",medium,
30,,Odeon Terminus,Ndumbuini Terminus,KANGEMI MATATU OWNERS SACCO,NTR-0078,0.67,2/3,"odeon, westlands, kangemi",medium,
30,,Odeon Terminus,Ndumbuini Terminus,KANGEMI MATATU OWNERS SACCO,ADR-K9BF6AW,0.67,2/3,"odeon, westlands, kangemi",medium,
30,,Odeon Terminus,Ndumbuini Terminus,KANGEMI MATATU OWNERS SACCO,ADR-BQ9SQK6,0.67,2/3,"odeon, kangemi, westlands",medium,
36,,City Stadium,Dandora Terminal,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-8LMSYLP,1.00,3/3,"dandora, city stadium, buruburu",high,
36,,City Stadium,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-VYASLLZ,1.00,3/3,"dandora, buruburu, city stadium",high,
36,,City Stadium,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-EPJSYY3,1.00,3/3,"dandora, city stadium, buruburu",high,
36,,City Stadium,Dandora Terminal,EASTLANDS EAGLES LIMITED,ADR-JY7S3YM,1.00,3/3,"dandora, buruburu, city stadium",high,
36,,City Stadium,Dandora Terminal,ECOSA TRAVELLERS SACCO,ADR-VYASW7J,1.00,3/3,"dandora, buruburu, city stadium",high,
3N,,Ngara,Gikomba,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKSKYO,0.50,2/4,"jericho, eastleigh, kariokor, gikomba",low,
3N,,Ngara,Gikomba,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-VYASAWA,0.50,2/4,"jericho, gikomba,eastleigh section3, kariokor",low,
3N,,Ngara,Gikomba,8B SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-Q5LCL8B,0.50,2/4,"jericho, gikomba,eastleigh, kariokor",low,
3N,,Ngara,Gikomba,ALDANA TRAVELLERS SACCO,ADR-BQ9SQJ9,0.50,2/4,"dandora, juja road,kariokor, gikomba",low,
3N,,Ngara,Gikomba,ECOSA TRAVELLERS SACCO,ADR-EPJSEZM,0.50,2/4,"dandora, juja road,kariokor, gikomba",low,
3U,,Dagoretti Corner Stage,Uthiru Pentecostal,,,,,,unknown,
41,,Gikomba,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-A5AC77Q,0.67,2/3,"dandora, juja road, gikomba",medium,
41,,Gikomba,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,ADR-DB3T33B,0.67,2/3,"dandora, gikomba, juja road",medium,
41,,Gikomba,Dandora Terminal,ECOSA TRAVELLERS SACCO,ADR-JY7SZPV,0.67,2/3,"dandora, gikomba, juja road",medium,
41,,Gikomba,Dandora Terminal,ECOSA TRAVELLERS SACCO,ADR-POKSYJ3,0.67,2/3,"dandora, juja road, gikomba",medium,
41,,Gikomba,Dandora Terminal,FIG KOMBA,ADR-BQ9SQQ3,0.67,2/3,"dandora, juja road, gikomba",medium,
42,,Terminal,Dandora Terminal,ALDANA TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ALDANA TRAVELLERS SACCO,ADR-7WRS9DE,0.67,2/3,"dandora, alsolps, kariobangi",medium,
42,,Terminal,Dandora Terminal,DANDORA USAFIRI TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ECOSA TRAVELLERS SACCO,NTR-00360,0.67,2/3,"dandora, kariobangi, alsolps",medium,
42,,Terminal,Dandora Terminal,ECOSA TRAVELLERS SACCO,NTR-00114,0.67,2/3,"ronald ngala, kariobangi, dandora",medium,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
4W,,Railways,Chemist/Kwa Maji/Kaberia,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-WZ9S3Q6,1.00,3/3,"railways, kibera, ngong road",high,
53,,Roasters,Maruirui,,,,,,unknown,
56,,Railways,Kanungaga/56 Mwisho,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,NTR-0042,0.67,2/3,"railways, yaya, kawangware",medium,
56,,Railways,Kanungaga/56 Mwisho,FASTRACK UNITED AND CREDIT COOPERATIVE SOCIETY,ADR-3ZQS3MO,0.67,2/3,"railways, kawangware, yaya",medium,
56,,Railways,Kanungaga/56 Mwisho,KAWANGWARE MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-0042,0.67,2/3,"railways, yaya, kawangware",medium,
56,,Railways,Kanungaga/56 Mwisho,KAWANGWARE MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-ZZJSJW2,0.67,2/3,"railways, kawangware, yaya",medium,
56,,Railways,Kanungaga/56 Mwisho,PALS MATATU SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,NTR-0042,0.67,2/3,"railways, yaya, kawangware",medium,
58,,Ambassadeur,Mutindwa,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-REOSRLV,0.67,2/3,"buruburu, jogoo road, commercial",medium,
58,,Ambassadeur,Mutindwa,BURUBURU 58 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-YM3S6EM,0.67,2/3,"buruburu, commercial, jogoo road",medium,
58,,Ambassadeur,Mutindwa,DABUMATO COMMUTER SERVICE SAVINGS & CREDIT CO-OPERATIVE SOCIETY LTD,ADR-8LMSYLP,0.67,2/3,"dandora, city stadium, buruburu",medium,
58,,Ambassadeur,Mutindwa,DANDORA USAFIRI TRAVELLERS SACCO,ADR-VYASLLZ,0.67,2/3,"dandora, buruburu, city stadium",medium,
58,,Ambassadeur,Mutindwa,DANDORA USAFIRI TRAVELLERS SACCO,ADR-EPJSYY3,0.67,2/3,"dandora, city stadium, buruburu",medium,
69,,Muthurwa,Gm Mwisho,INDIMA (NJE) SACCO,ADR-2DVSZ6L,0.50,2/4,"muthurwa, kwa njenga,enterprise road, lusaka road",low,
69,,Muthurwa,Gm Mwisho,OUTREACH TRAVEL,ADR-Q5LCEKZ,0.50,2/4,"muthurwa, kwa njenga,enterprise road, lusaka road",low,
6E,,Church Army,Joster,,,,,,unknown,
7C,,Kencom,Kenyatta Hospital Stage,,,,,,unknown,
102,,Railways,Kikuyu,DAKIKA MATATU OWNERS SACCO,ADR-8LMSVRP,1.00,4/4,"railways, ngong road, dagoretti, kikuyu",high,
102,,Railways,Kikuyu,PAKIN ALICIA SACCO SOCIETY LTD,ADR-O68I875,1.00,4/4,"railways, kikuyu,ngong road, dagoretti",high,
102,,Railways,Kikuyu,DAKIKA MATATU OWNERS SACCO,NTR-00104,1.00,3/3,"railways, kikuyu, dagoretti",high,
102,,Railways,Kikuyu,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
102,,Railways,Kikuyu,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
103,,Dagoretti Corner Stage,Wangige Stage,DIGITAL LUXURY TRAVELLERS LIMITED,NTR-00202104141031560,0.67,2/3,"Uthiru, muhuri rd dagoretti market kikuyu zambezi nduma buroti mutarakwa kwambira limuru rironi muguga, kinoo",medium,
103,,Dagoretti Corner Stage,Wangige Stage,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-VYASWZP,0.60,3/5,"dagoretti corner, uthiru,wangige,limuru, nakuru",low,
103,,Dagoretti Corner Stage,Wangige Stage,LATEMA 22 TRAVELLERS SACCO,NTR-001332,0.50,3/6,"odeon, westlands,kangemi,uthiru,kinoo, regen",low,
103,,Dagoretti Corner Stage,Wangige Stage,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,ADR-POKSY77,0.50,2/4,"bus station, wangige,ngong road, kawagware, uthiru",low,
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,NTR-001332,1.00,6/6,"odeon, westlands,kangemi,uthiru,kinoo, regen",high,
105,,Kikuyu Terminus,Odeon Terminus,COSY TRAVEL LIMITED,ADR-JY7S3P6,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,ADR-7WRS93P,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
105,,Kikuyu Terminus,Odeon Terminus,LATEMA 22 TRAVELLERS SACCO,ADR-K9BF6JL,1.00,5/5,"odeon, kinoo,westlands, kangemi, uthiru",high,
105,,Kikuyu Terminus,Odeon Terminus,STARBUS COMPANY (K) LTD,ADR-7WRS93P,1.00,5/5,"odeon, westlands, kangemi, uthiru, kinoo",high,
106,,Koja/Nation Centre,Banana Terminus,,,,,,unknown,
107,,Odeon,Karura Mwisho,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,ADR-9AKFJRA,0.60,3/5,"odeon, aga khan, pangani, ndenderu, wangige",low,
107,,Odeon,Karura Mwisho,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,ADR-DB3TYOY,0.60,3/5,"odeon, wangige,aga khan, pangani, ndenderu",low,
107,,Odeon,Karura Mwisho,LOPHA MULTIPURPOSE CO-OPERATIVE SOCIETY,ADR-JY7SZ77,0.60,3/5,"odeon, highridge, pangani, ruaka, ndenderu",low,
107,,Odeon,Karura Mwisho,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-REOSLL9,0.60,3/5,"odeon, highridge, pangani, ruaka, ndenderu",low,
107,,Odeon,Karura Mwisho,RUNKA SERVICES COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-ZZJS2ZY,0.60,3/5,"odeon, ndenderu,highridge, pangani, ruaka",low,
108,,Poland Embassy,Gasolina/Gichagi Mwisho,,,,,,unknown,
110,,Easy Coach/Uchumi,Kitengela,LIBERA IMPEX LIMITED,ADR-POKSRVO,0.67,2/3,"cabanas, mombasa rd pipeline outering rd eastern bypass jogoo rd kayole ngara thika rd mwihoko tassia link rd gatundu juja farm thika, kenol",medium,
110,,Easy Coach/Uchumi,Kitengela,LIBERA IMPEX LIMITED,NTR-001427,0.67,2/3,"cabanas, mombasa rd pipeline outering rd eastern bypass jogoo rd savannah manyanja rd soweto spine rd kayole kangundo rd forest rd ngara thika rd mwihoko tassia link rd gatundu juja farm thika makongeni kamwangi, kenol",medium,
110,,Easy Coach/Uchumi,Kitengela,NANGKIS MATATU SACCO,NTR-00202010221528160,0.67,2/3,"Kitengela, Mombasa rd G.P.O Ambassador Railways KNH Yaya jamhuri naivasha rd Kawangware Ndunyu Kikuyu Limuru Karen Ngong Kiserian ongata rongai bomas hardylangata rd, nyayo",medium,
110,,Easy Coach/Uchumi,Kitengela,EMBASSAVA COOPERATIVE SAVINGS AND CREDIT SOCIETY LTD,ADR-9AKFOKE,0.50,2/4,"accra road, mombasa road, mlolongo, kitengela",low,
111,,Railways,Ngong Bus Terminus,KIBERA BURETI SACCO,ADR-MDMSKW8,1.00,3/3,"railways, kibera, ngong road",high,
111,,Railways,Ngong Bus Terminus,KIBERA BURETI SACCO,ADR-ZZJS9OP,1.00,3/3,"railways, ngong road, kibera",high,
111,,Railways,Ngong Bus Terminus,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-EPJSA7P,1.00,3/3,"railways, ngong road, kibera",high,
111,,Railways,Ngong Bus Terminus,KIBERA MATATU OWNERS COOPERATIVE SAVINGS AND CREDIT SOCIETY LIMITED,ADR-7WRS7R8,1.00,3/3,"railways, kibera, ngong road",high,
111,,Railways,Ngong Bus Terminus,KIRAGI TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-WZ9S3Q6,1.00,3/3,"railways, kibera, ngong road",high,
115,,Koja,Limuru Town Terminal,2KW SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LTD,NTR-00494,0.67,2/3,"nairobi, limuru, nakuru",medium,
115,,Koja,Limuru Town Terminal,COSY TRAVEL LIMITED,NTR-0078,0.67,2/3,"odeon, westlands, kangemi",medium,
115,,Koja,Limuru Town Terminal,COSY TRAVEL LIMITED,ADR-Q5LC6JA,0.67,2/3,"odeon, kangemi, westlands",medium,
115,,Koja,Limuru Town Terminal,KANGEMI MATATU OWNERS SACCO,NTR-0078,0.67,2/3,"odeon, westlands, kangemi",medium,
115,,Koja,Limuru Town Terminal,KANGEMI MATATU OWNERS SACCO,ADR-K9BF6AW,0.67,2/3,"odeon, westlands, kangemi",medium,
116,,Koja,Limuru Terminus,BAKAKI 101 TRAVELLERS SAVINGS AND CREDIT CO-OPERATIVE SOCIETY LIMITED,ADR-K9BF6JM,0.67,2/3,"kiambu, banana, limuru",medium,
